icao,lat,lon,type,size,name,city,state,country
09OK,36.3545,-95.8639,civil,762,Ragtime Aerodrome,Collinsville,Oklahoma,United States
09PA,40.827,-77.9881,civil,701,Eagle Field,Port Matilda,Pennsylvania,United States
09R,30.7747,-94.4588,civil,1222,Tyler Co,Woodville,Texas,United States
09S,48.8416,-117.284,civil,579,Sullivan Lake State,Metaline Falls,Washington,United States
09TA,31.1605,-96.4375,civil,1219,Rockin 7 Ranch,Franklin,Texas,United States
09TE,32.2668,-97.867,civil,858,Running M Ranch,Glen Rose,Texas,United States
09TS,29.4824,-103.165,civil,1280,Pitcock Rosillos Mountain Ranch,Marathon,Texas,United States
09TX,30.7391,-102.024,civil,2670,Smokey Mtn Ranch,Sheffield,Texas,United States
09VA,36.9765,-80.4939,civil,335,Alum Ridge,Floyd,Virginia,United States
09WI,44.0036,-91.3076,civil,762,Parkway Farm Strip,Holmen,Wisconsin,United States
09Y,44.8166,-93.0155,water,999,Wipline,Inver Grove Hgts,Minnesota,United States
0A2,34.0904,-82.5679,civil,1194,Hester Meml,Calhoun Falls,South Carolina,United States
0A3,35.9853,-85.8093,civil,1251,Smithville Mun,Smithville,Tennessee,United States
0A4,36.3637,-82.309,civil,914,Johnson City,Johnson City,Tennessee,United States
0A7,35.3076,-82.4332,civil,937,Hendersonville,Hendersonville,North Carolina,United States
0A8,32.9368,-87.0889,civil,1280,Bibb Co,Centreville,Alabama,United States
0A9,36.3712,-82.1734,civil,1380,Elizabethton Mun,Elizabethton,Tennessee,United States
0AK,61.9346,-162.9,civil,772,Pilot Station,Pilot Station,Alaska,United States
0AK0,64.3925,-146.862,civil,320,Scotts,North Pole,Alaska,United States
0AK1,61.617,-149.315,civil,1585,Anderson Lake Strip,Wasilla,Alaska,United States
0AK2,71.0588,-154.751,civil,762,Cape Simpson,Cape Simpson,Alaska,United States
0AK3,62.0359,-150.494,civil,274,Parker Lake,Montana Creek,Alaska,United States
0AK6,61.8034,-147.944,civil,518,Victory,Victory Bible Camp,Alaska,United States
0AL1,30.4439,-87.6569,civil,805,Resort,Foley,Alabama,United States
0AL5,31.0322,-87.2528,civil,671,Flomaton,Flomaton,Alabama,United States
0AL9,34.85,-87.6325,civil,671,Wilson Creek,Florence,Alabama,United States
0AR1,35.0947,-93.202,civil,732,Hooterville South,Centerville,Arkansas,United States
0AR2,35.2668,-90.3501,civil,853,Mission Field-Marotti Memorial,Crawfordsville,Arkansas,United States
0AR3,35.899,-93.261,civil,610,Taylor's Air Strip,Deer,Arkansas,United States
0AR7,33.9501,-91.1812,civil,671,Yancopin,Watson,Arkansas,United States
0AZ1,32.3009,-111.324,civil,2362,Taylor Field,Marana,Arizona,United States
0AZ2,33.7781,-113.642,civil,1524,Salome Outback,Salome,Arizona,United States
0AZ4,32.9823,-112.287,civil,884,Flying Bucket Ranch,Mobile,Arizona,United States
0AZ5,33.8659,-112.603,civil,610,Castle Well,Morristown,Arizona,United States
0B1,44.4251,-70.8078,civil,1164,Bethel Regl,Bethel,Maine,United States
0B2,44.7637,-68.7678,civil,527,Brewer,Brewer,Maine,United States
0B4,42.6036,-97.2526,civil,1964,Hartington Mun,Hartington,Nebraska,United States
0B5,42.5914,-72.5228,civil,918,Turners Falls,Montague,Massachusetts,United States
0B7,44.1167,-72.8271,civil,785,Warren-Sugarbush,Warren,Vermont,United States
0B8,41.2513,-72.0316,civil,1254,Elizabeth,Fishers Island,New York,United States
0C0,42.4025,-88.6324,civil,2680,Dacy,Harvard,Illinois,United States
0C1,39.4878,-94.7805,civil,724,Rainbow Air Village,Dearborn,Missouri,United States
0C2,41.7709,-88.7034,civil,805,Hinckley,Hinckley,Illinois,United States
0C3,41.4834,-88.0834,civil,776,Wilhelmi,Joliet,Illinois,United States
0C4,42.1139,-96.7289,civil,1097,Pender Mun,Pender,Nebraska,United States
0C5,43.5764,-85.2806,civil,1158,Canadian Lakes,Mecosta,Michigan,United States
0C7,41.522,-89.1326,civil,1213,Grandpa's Farm-Mendota,Mendota,Illinois,United States
0C8,41.5195,-88.6056,civil,1899,Cushing,Newark,Illinois,United States
0CA1,34.9883,-120.458,civil,762,Northside Airpark,Santa Maria,California,United States
0CA3,34.5875,-120.013,civil,640,Crawford,Santa Ynez,California,United States
0CA4,34.6222,-120.065,civil,1097,Shepherd Ranch,Santa Ynez,California,United States
0CA5,33.1431,-116.745,civil,427,Hoffman Pvt,Santa Ysabel,California,United States
0CA6,32.7494,-116.016,civil,732,Emory Ranch,Ocotillo,California,United States
0CA8,33.4278,-116.843,civil,1381,Ward Ranch,Aguanga,California,United States
0CA9,35.595,-120.339,civil,1006,Blech Ranch,Shandon,California,United States
0CL1,34.5694,-117.556,civil,1646,Krey Field,Adelanto,California,United States
0CL3,32.6331,-116.893,civil,1280,John Nichol's Field,Chula Vista,California,United States
0CL6,34.6947,-118.283,civil,579,Bohunk's Airpark,Lancaster,California,United States
0CL8,35.5913,-117.634,civil,1067,Tera,Ridgecrest,California,United States
0CO1,40.0333,-105.124,civil,762,Dave's,Louisville,Colorado,United States
0CO2,38.8519,-106.933,civil,1219,Buckhorn Ranch,Crested Butte,Colorado,United States
0CO3,39.8894,-104.545,civil,1280,Greggs Nr 1,Bennett,Colorado,United States
0CO5,39.8333,-103.59,civil,853,Chenoweth,Last Chance,Colorado,United States
0CO6,38.2194,-108.213,civil,2591,Flying M & M Ranch,Norwood,Colorado,United States
0CO8,40.2083,-105.013,civil,610,Cartwheel,Mead,Colorado,United States
0CO9,37.6583,-106.034,civil,792,Van Treese,Monte Vista,Colorado,United States
0D1,42.3508,-86.2561,civil,2308,South Haven Area Regl,South Haven,Michigan,United States
0D4,42.3562,-79.5489,civil,899,Camp Vernon,Westfield,New York,United States
0D5,43.1667,-76.808,civil,686,Hill Top Airpark,Wolcott,New York,United States
0D6,40.475,-96.9878,civil,1370,Wilber Mun,Wilber,Nebraska,United States
0D7,40.7906,-83.8291,civil,596,Ada,Ada,Ohio,United States
0D8,44.9873,-99.9535,civil,1980,Gettysburg Mun,Gettysburg,South Dakota,United States
0E0,34.9856,-106.009,civil,2343,Moriarty,Moriarty,New Mexico,United States
0E1,36.565,-103.491,civil,2057,Price Ranch,Mt Dora,New Mexico,United States
