icao,lat,lon,type,size,name,city,state,country
0V3,40.5149,-98.9456,civil,1848,Pioneer Village,Minden,Nebraska,United States
0V4,37.1417,-79.0164,civil,1157,Brookneal-Campbell Co,Brookneal,Virginia,United States
0V5,38.6057,-77.5847,civil,747,Whitman,Manassas,Virginia,United States
0V6,43.3069,-100.628,civil,975,Mission Sioux,Mission,South Dakota,United States
0V7,36.7097,-110.237,civil,2176,Kayenta,Kayenta,Arizona,United States
0VA1,37.2335,-79.5853,civil,610,Johnson Fox Field,Bedford,Virginia,United States
0VA2,37.7965,-79.7667,civil,610,Riverwood,Iron Gate,Virginia,United States
0VA3,37.6988,-77.0953,civil,671,Hunt,Manquin,Virginia,United States
0VA4,36.9501,-79.8795,civil,640,Worley Field,Rocky Mount,Virginia,United States
0VA5,37.6943,-77.6617,civil,1189,Rockville,Richmond,Virginia,United States
0VA7,37.5232,-77.8194,civil,396,Flatrock Air Strip,Richmond,Virginia,United States
0VA8,37.2858,-77.7912,civil,549,Jayarz,Mannboro,Virginia,United States
0VA9,37.4474,-76.4538,civil,305,Handy Strip,Gloucester Court House,Virginia,United States
0VI1,37.6904,-77.0886,civil,914,Brooklyn,Manquin,Virginia,United States
0W0,47.6276,-122.332,water,999,Seattle Seaplanes,Seattle,Washington,United States
0W3,39.5667,-76.2022,civil,1139,Harford Co,Churchville,Maryland,United States
0W7,48.7282,-122.336,water,3048,Floathaven,Bellingham,Washington,United States
0WA0,46.8434,-122.476,civil,975,Elbow Lake Airpark,Yelm,Washington,United States
0WA1,46.6171,-122.826,civil,610,Dwight Field,Chehalis,Washington,United States
0WA2,46.5904,-123.105,civil,721,Curtis,Curtis,Washington,United States
0WA5,46.8918,-122.381,civil,610,Asplund Field,Eatonville,Washington,United States
0WI1,45.5072,-92.1419,civil,4023,Mort's Landing,Comstock,Wisconsin,United States
0WI2,43.2014,-88.3334,civil,792,Doering Farms Airfield,Monches,Wisconsin,United States
0WI4,43.8294,-89.3526,civil,975,Snow Crest Ranch,Montello,Wisconsin,United States
0WI5,42.7934,-87.8906,civil,610,Crash In International,Husher,Wisconsin,United States
0WI6,42.8736,-88.1579,civil,396,Simandl Field/Private,Muskego,Wisconsin,United States
0WI7,44.1336,-88.4993,civil,1097,Wilmer M Zimmerman Civil Air Patrol /Pvt/,Neenah,Wisconsin,United States
0WI8,43.1389,-88.4723,civil,792,Oconomowoc,Oconomowoc,Wisconsin,United States
0WI9,42.9314,-89.3387,civil,792,McManus Hoonch-Na-Shee-Kaw,Oregon,Wisconsin,United States
0WN5,42.7997,-88.0487,civil,46,Potts Field,North Cape,Wisconsin,United States
0XS0,28.4003,-99.5587,civil,1768,Diamond H Ranch,Catarina,Texas,United States
0XS1,29.2878,-96.3497,civil,457,Rodgers Roost,El Campo,Texas,United States
0XS2,30.5549,-100.534,civil,1128,John Fields Ranch,Spicewood,Texas,United States
0XS6,30.501,-98.147,civil,914,Lakeside Beach,Spofford,Texas,United States
0XS7,29.1919,-100.275,civil,1829,Anacacho Ranch,Spring Branch,Texas,United States
0XS8,29.0761,-100.375,civil,975,Dunbar Ranch,Spring Branch,Texas,United States
0XS9,28.9378,-95.7502,civil,1021,Fay Ranch,Cedar Lane,Texas,United States
0Y4,43.1625,-95.4669,civil,762,Lambert Fechter Mun,Hartley,Iowa,United States
0Y6,43.4166,-93.5085,civil,1030,Lake Mills Mun,Lake Mills,Iowa,United States
0Z2,63.1082,-147.532,civil,305,Road Commission Nr 1,Denali,Alaska,United States
0Z3,59.059,-158.577,water,427,Shannons Pond,Dillingham,Alaska,United States
10AK,61.5914,-149.678,civil,244,Hunt Strip,Wasilla,Alaska,United States
10AZ,33.3667,-112.619,civil,1038,Pierce,Buckeye,Arizona,United States
10C,42.4029,-88.3751,civil,1505,Galt,Greenwood/Wonder Lake,Illinois,United States
10CL,35.368,-119.195,civil,701,Joe Gottlieb Field,Bakersfield,California,United States
10CO,39.4547,-102.213,civil,914,Silkman Farms Inc,Burlington,Colorado,United States
10D,44.95,-94.0669,civil,990,Winsted Mun,Winsted,Minnesota,United States
10F,33.0154,-98.6253,civil,1097,Rosser Ranch,Graham,Texas,United States
10FA,28.7975,-81.9359,civil,785,Flying Baron Estates,Leesburg,Florida,United States
10FD,30.588,-85.0699,civil,812,Altha International,Altha,Florida,United States
10G,40.5372,-81.9544,civil,1064,Holmes Co,Millersburg,Ohio,United States
10GA,33.3251,-84.2983,civil,640,Beaverbrook Aerodrome,Griffin,Georgia,United States
10IA,42.4167,-92.2502,civil,733,Flyers,Waterloo,Iowa,United States
10ID,43.4944,-113.922,civil,914,Flat Top Airstrip,Muldoon,Idaho,United States
10IN,39.7184,-85.0489,civil,792,Squires,Connersville,Indiana,United States
10IS,38.6987,-90.0625,civil,549,Lakeside - Nichols Rla,East St Louis/Granite City,Illinois,United States
10K,41.4708,-98.7462,civil,561,Scotia Mun,Scotia,Nebraska,United States
10LA,30.2474,-92.096,civil,653,Industrial Helicopters Inc.,Scott,Louisiana,United States
10M,44.8142,-70.3453,civil,701,Lindbergh,Avon,Maine,United States
10MA,42.2626,-72.307,water,999,Beaver Lake,Ware,Massachusetts,United States
10MN,46.4375,-93.9561,water,999,Lookout Lake,Ironton,Minnesota,United States
10MO,38.9145,-91.7043,civil,610,Eckerts Airstrip,Williamsburg,Missouri,United States
10MT,47.8333,-106.484,civil,1554,Hoolie,Haxby,Montana,United States
10ND,47.1875,-102.362,civil,945,Smith Strip,Halliday,North Dakota,United States
10OH,41.4028,-82.6291,civil,427,Zoellner,Huron,Ohio,United States
10OK,35.1667,-97.217,civil,792,Hickory Hills,Norman,Oklahoma,United States
10OR,45.7893,-123.232,civil,305,Stevens Mountain,Vernonia,Oregon,United States
10TE,29.6669,-97.5003,civil,602,Gottwald Field,Henly,Texas,United States
10TS,29.5525,-98.1031,civil,274,Saint's Strip,Mason,Texas,United States
10U,41.9532,-116.188,civil,2042,Owyhee,Owyhee,Nevada,United States
10VA,37.3863,-78.8131,civil,549,Nashs,Appomattox,Virginia,United States
10WA,47.5546,-117.413,civil,671,Mullan Hill,Spokane,Washington,United States
10WI,45.1158,-88.1895,civil,640,Buds Landing,Pound,Wisconsin,United States
11A,31.8833,-85.4849,civil,1464,Clayton Mun,Clayton,Alabama,United States
11AK,63.9996,-145.502,civil,1341,Delta Airmotive,Delta Junction,Alaska,United States
11AZ,31.6837,-110.29,civil,1173,Whetstone,Huachuca City,Arizona,United States
11CA,36.6733,-119.722,civil,549,Turner Field,Fowler,California,United States
11CL,34.63,-117.653,civil,1791,Hansen,Adelanto,California,United States
11FA,25.5837,-80.4998,civil,751,B & L Farms,Homestead,Florida,United States
11FL,30.043,-81.8809,civil,914,Williams Field,Middleburg,Florida,United States
11G,42.9211,-82.5855,civil,792,Johnson Field,Smiths Creek,Michigan,United States
11ID,42.1855,-116.113,civil,945,Riddle,Riddle,Idaho,United States
11II,39.3417,-86.0305,civil,1250,Atterbury Field (Camp Atterbury),Nineveh,Indiana,United States
11IN,39.8189,-86.5381,civil,815,Jr's,Danville,Indiana,United States
11J,31.3956,-84.893,civil,1524,Early Co,Blakely,Georgia,United States
11K,41.1292,-97.5776,civil,674,Stromsburg Mun,Stromsburg,Nebraska,United States
11KS,39.1167,-95.1489,civil,1097,Sheller's,Tonganoxie,Kansas,United States
11L,34.835,-114.957,civil,914,Camino Airstrip,Goffs,California,United States
11LA,29.2588,-89.353,water,999,Tiger Pass,Venice,Louisiana,United States
11LL,40.7231,-88.7631,civil,686,Thacker,Chenoa,Illinois,United States
11M,34.352,-88.3773,civil,916,Fulton-Itawamba Co,Fulton,Mississippi,United States
11MA,41.8073,-70.7584,civil,366,Bulljump,Wareham,Massachusetts,United States
11MN,47.6778,-93.0482,water,6001,Sixberry's Landing,Chisholm,Minnesota,United States
11MO,38.9017,-91.6352,civil,640,Redgate Ranch,Williamsburg,Missouri,United States
11MT,46.9791,-112.005,civil,1463,Ox Bow Ranch,Helena,Montana,United States
11N,41.5668,-73.4662,civil,884,Candlelight Farms,New Milford,Connecticut,United States
11ND,47.4253,-102.384,civil,856,Evinger Strip,Halliday,North Dakota,United States
11NE,42.4425,-103.916,civil,762,Kaan,Harrison,Nebraska,United States
11NY,42.209,-76.4497,civil,488,Saikkonen,Spencer,New York,United States
11OA,39.6431,-82.4668,civil,701,Hide-A-Way Hills Resort,Bremen,Ohio,United States
11OG,44.4513,-118.187,civil,732,Unity,Unity,Oregon,United States
11OH,40.6639,-82.8546,civil,610,Iberia Landing Strip,Iberia,Ohio,United States
11OK,35.0723,-97.3836,civil,579,Beefor Ranch,Purcell,Oklahoma,United States
11OR,43.3935,-123.285,civil,678,Holiday Sky Ranch,Sutherlin,Oregon,United States
11Q,36.7036,-120.135,civil,1201,Du Bois Ranch,Kerman,California,United States
11R,30.219,-96.3743,civil,1679,Brenham Mun,Brenham,Texas,United States
11S,48.2665,-124.307,civil,908,Sekiu,Sekiu,Washington,United States
11TE,32.3001,-97.2045,civil,579,Flying M Ranch,Grandview,Texas,United States
11TS,31.6579,-96.4114,civil,722,Pt Enterprise D&W Ranch,Mexia,Texas,United States
11TX,33.6668,-96.6906,civil,610,Butler,Sherman,Texas,United States
11V,40.3305,-104.609,civil,1875,Easton,Greeley,Colorado,United States
11WA,47.5238,-117.47,civil,732,Homeport,Spokane,Washington,United States
11WN,43.3542,-89.5712,water,999,Diedrich,Lodi,Wisconsin,United States
11Z,63.9106,-149.024,civil,366,Lignite,Lignite,Alaska,United States
12AR,35.1784,-92.3354,civil,978,Arkavalley,Arkavalley,Arkansas,United States
12AZ,33.8539,-112.653,civil,732,Ranta Strip,Morristown,Arizona,United States
12CA,38.1096,-121.169,civil,549,Faber Vineyards,Lodi,California,United States
12CL,36.1569,-119.85,civil,850,Newton Field,Stratford,California,United States
12CO,38.8355,-107.815,civil,427,Omega 1,Hotchkiss,Colorado,United States
12D,47.8183,-92.2917,civil,1036,Tower Mun,Tower,Minnesota,United States
12FA,28.4786,-81.7145,civil,549,Hi-Acres,Clermont,Florida,United States
12G,40.8729,-82.6974,civil,1544,Shelby Community,Shelby,Ohio,United States
12I,39.5106,-84.998,water,6001,Brookville Reservoir,Brookville,Indiana,United States
12ID,44.968,-114.733,civil,610,Flying B Ranch Landing Strip,Salmon,Idaho,United States
12II,39.8562,-84.9722,civil,762,Pentecost,Centerville,Indiana,United States
12IL,41.2,-88.0167,civil,396,Hawker,Kankakee,Illinois,United States
12IN,38.1186,-87.6475,civil,588,J & S Field,Darmstadt,Indiana,United States
12J,31.0506,-87.0656,civil,4524,Brewton Mun,Brewton,Alabama,United States
12K,40.0464,-98.0601,civil,2042,Superior Mun,Superior,Nebraska,United States
12KS,37.9353,-97.4878,civil,792,Sooter,Sedgwick,Kansas,United States
12KY,38.4603,-85.1686,civil,762,John M. Foree,New Castle,Kentucky,United States
12LA,30.2759,-93.3574,civil,1067,Kml,Sulphur,Louisiana,United States
12LL,37.5403,-89.4862,civil,671,Lambdins Field,Wolf Lake,Illinois,United States
12ME,44.3223,-69.2073,civil,457,Ridgeview Airport,Searsmont,Maine,United States
12MI,43.0517,-83.4919,civil,564,John's,Davison,Michigan,United States
12MN,46.4805,-94.2811,water,999,Eastman,Lake Hubert,Minnesota,United States
12MO,38.5806,-93.5947,civil,914,Ferguson Farms,Windsor,Missouri,United States
12MS,31.0931,-91.319,civil,335,Green Acres,Woodville,Mississippi,United States
12MT,48.7742,-110.442,civil,1042,Lincolns Field,Hingham,Montana,United States
12N,41.0086,-74.738,civil,604,Aeroflex-Andover,Andover,New Jersey,United States
12NC,34.8833,-76.35,civil,3278,Atlantic Field Mcolf,Atlantic,North Carolina,United States
12ND,48.2953,-101.427,civil,610,Pietschtree Airstrip,Burlington,North Dakota,United States
12NE,41.9066,-103.7,civil,610,Reisig Brothers,Scottsbluff,Nebraska,United States
12NM,31.7918,-107.638,civil,1524,Columbus Stockyards,Columbus,New Mexico,United States
12OH,39.8348,-84.3347,civil,314,Mcgregor Airfield,Brookville,Ohio,United States
12OK,35.5413,-97.4531,civil,1021,Expressway Airpark,Oklahoma City,Oklahoma,United States
12OR,42.9513,-117.282,civil,671,Skinner Ranch,Jordan Valley,Oregon,United States
12PA,40.1898,-75.6152,civil,411,Emery Field,Pottstown,Pennsylvania,United States
12R,29.8738,-96.0044,civil,600,Mikeska,Brookshire,Texas,United States
12S,44.8318,-119.43,civil,652,Monument Mun,Monument,Oregon,United States
12SC,34.1414,-80.7467,civil,732,Over The Hill,Elgin,South Carolina,United States
12TE,31.3168,-99.2337,civil,701,Curtis Ranch Field,Brady,Texas,United States
12TS,32.9085,-97.9773,civil,975,Blo,Mineral Wells,Texas,United States
12TX,30.8214,-98.0806,civil,610,Griffin,Bertram,Texas,United States
12V,38.4409,-82.2008,civil,962,Ona,Milton,West Virginia,United States
12VA,37.7897,-79.7708,civil,655,Hop-Along,Clifton Forge,Virginia,United States
12WA,47.5207,-117.463,civil,472,Fowlers Nw 40,Spokane,Washington,United States
12XS,34.9547,-91.8372,civil,747,McCroskey Field,Butlerville,Arkansas,United States
12Y,44.4375,-93.9127,civil,916,Le Sueur Mun,Le Sueur,Minnesota,United States
13AK,61.6495,-149.886,civil,299,Satterburgs,Houston,Alaska,United States
13AZ,34.9806,-112.297,civil,732,Bar Heart Ranch,Drake,Arizona,United States
13C,43.4521,-85.2648,civil,1065,Lakeview-Griffith,Lakeview,Michigan,United States
13CL,38.3813,-121.824,civil,594,Maine Prairie,Dixon,California,United States
13FA,29.6944,-81.5137,civil,701,Earle Airpark,Hastings,Florida,United States
13GA,31.3666,-83.7549,civil,1036,Oak Ridge Plantation,Sylvester,Georgia,United States
13IA,42.0457,-90.1911,civil,259,Hillside Stables,Sabula,Iowa,United States
13ID,44.2666,-115.001,civil,488,Silva Ranch,Stanley,Idaho,United States
13IL,41.0414,-90.8946,civil,610,Shissler Farm Inc.,Keithsburg,Illinois,United States
13IN,40.8153,-84.9277,civil,671,Gage,Decatur,Indiana,United States
13IS,39.3473,-90.6026,civil,1219,The Adwell Corporation,Eldred,Illinois,United States
13K,37.8516,-96.2917,civil,1704,Eureka Mun,Eureka,Kansas,United States
13KS,37.6978,-97.1103,civil,610,Daniel's Landing,Andover,Kansas,United States
13KY,37.7056,-87.1561,civil,610,Miles,Owensboro,Kentucky,United States
13MN,46.1008,-95.8314,civil,488,Melby,Ashby,Minnesota,United States
13MO,37.6764,-91.7065,civil,610,Domeyer,Lenox,Missouri,United States
13MT,48.5208,-110.113,civil,701,Sorenson,Kremlin,Montana,United States
13N,40.9668,-74.7802,civil,586,Trinca,Andover,New Jersey,United States
13NC,35.0335,-77.2497,civil,3749,Oak Grove Mcolf,Pollocksville,North Carolina,United States
13ND,47.4875,-97.6231,civil,671,Rygg,Portland,North Dakota,United States
13NE,40.3167,-100.809,civil,792,Hock,Culbertson,Nebraska,United States
13NM,33.4195,-108.139,civil,1170,Beaverhead Airstrip,Silver City,New Mexico,United States
13OH,41.3303,-84.2983,civil,686,Rose Field,Jewell,Ohio,United States
13OR,43.7407,-122.426,civil,594,Aubrey Mountain Airstrip,Oakridge,Oregon,United States
13PA,41.6826,-79.452,civil,632,Rigrtona,Tidioute,Pennsylvania,United States
13PN,40.4543,-75.3046,civil,268,Richland Acres,Quakertown,Pennsylvania,United States
13Q,38.8166,-121.701,civil,488,Sunrise Dusters,Knights Landing,California,United States
13S,62.2829,-146.519,water,999,Lake Louise,Lake Louise,Alaska,United States
13TE,30.656,-96.5383,civil,710,Varisco,Bryan,Texas,United States
13TS,27.4553,-98.9264,civil,914,Van Es Ranch,Oilton,Texas,United States
13TX,30.5313,-100.451,civil,2012,Allison Ranch,Spicewood,Texas,United States
13W,48.257,-122.437,civil,533,Camano I,Stanwood,Washington,United States
13WI,43.6964,-88.9996,civil,1475,Nowatzski Field,Markesan,Wisconsin,United States
13XS,34.9354,-92.1921,civil,405,Bethal,Jacksonville,Arkansas,United States
13Y,48.4166,-93.5863,civil,914,Littlefork Mun/Hanover,Littlefork,Minnesota,United States
13Z,55.6013,-131.637,water,3048,Loring,Loring,Alaska,United States
14A,35.6143,-80.9004,civil,914,Lake Norman,Mooresville,North Carolina,United States
14AK,61.6015,-149.248,civil,396,Four Corners,Palmer,Alaska,United States
14AZ,31.9083,-111.122,civil,1311,Ruby Star Airpark,Green Valley,Arizona,United States
14CO,38.0972,-104.91,civil,762,Good Pasture,Beulah,Colorado,United States
14F,32.8501,-100.138,civil,975,Hamlin Mun,Hamlin,Texas,United States
14FA,25.5701,-80.3998,civil,1219,Burrs Strip,Miami,Florida,United States
14FD,29.9491,-81.4904,civil,762,Sunshine Farms,St Augustine,Florida,United States
14FL,30.8655,-87.1777,civil,610,Wells Flying Service,Jay,Florida,United States
14G,41.3342,-83.1599,civil,1988,Fremont,Fremont,Ohio,United States
14I,39.6334,-83.7499,civil,372,Bloom,Jamestown,Ohio,United States
14IN,41.207,-87.2125,civil,792,De Motte,De Motte,Indiana,United States
14J,31.4099,-86.0888,civil,1585,Folsom,Elba,Alabama,United States
14KS,38.2692,-94.9048,civil,792,G & S Space Port,Parker,Kansas,United States
14KY,38.1737,-84.3683,civil,683,Blue Haven Farm,Paris,Kentucky,United States
14LA,30.841,-91.5082,civil,884,Killarny Farm,St Francisville,Louisiana,United States
14M,33.1826,-90.8307,civil,914,Hollandale Mun,Hollandale,Mississippi,United States
14MI,42.8509,-85.567,civil,305,East-West Paris,Dutton,Michigan,United States
14MN,44.6658,-93.2772,water,999,Lake Marion,Lakeville,Minnesota,United States
14MO,39.05,-94.3169,civil,579,Stevinson Farm,Blue Springs,Missouri,United States
14MT,47.0516,-109.075,civil,1280,Holland Ranch,Lewistown,Montana,United States
14N,40.8443,-75.6355,civil,616,Beltzville,Lehighton,Pennsylvania,United States
14NC,34.5167,-77.55,civil,3048,Camp Davis Mcolf,Holly Ridge,North Carolina,United States
14ND,46.2078,-102.908,civil,646,Hagen Private,Reeder,North Dakota,United States
14NE,40.8625,-98.0642,civil,805,Aaron's Field,Aurora,Nebraska,United States
14NY,42.139,-76.3858,civil,457,Kohn,Straits Corners,New York,United States
14OH,40.6689,-83.4435,civil,610,Heilman,Kenton,Ohio,United States
14OI,40.9192,-82.114,civil,762,Pleasant Home Gliding Club,Pleasant Home,Ohio,United States
14OK,35.8042,-97.9337,civil,671,Reherman,Kingfisher,Oklahoma,United States
14P,38.8239,-81.3494,civil,914,Boggs Field,Spencer,West Virginia,United States
14PA,40.2909,-75.6591,civil,396,Dimascio Field,Pottstown,Pennsylvania,United States
14R,30.5155,-96.7041,civil,992,Caldwell Mun,Caldwell,Texas,United States
14S,46.8973,-124.101,civil,686,Westport,Westport,Washington,United States
14TA,29.8986,-98.4031,civil,457,Dean Ranch,Stockdale,Texas,United States
14TE,30.9168,-99.4837,civil,823,Smith I-Ranch,Hondo,Texas,United States
14TS,27.4217,-98.6045,civil,1842,O S Wyatt,Realitos,Texas,United States
14TX,30.2894,-98.1739,civil,610,Keyes Ranch,Eagle Pass,Texas,United States
14VA,39.229,-77.7467,civil,579,Krens Farm,Hillsboro,Virginia,United States
14WA,48.2365,-122.452,civil,533,Livingston Bay,Stanwood,Washington,United States
14WI,45.1797,-91.5182,civil,579,Flying O,New Auburn,Wisconsin,United States
14WS,45.778,-91.5585,civil,747,Lakewood Lodge,Stone Lake,Wisconsin,United States
14XS,30.8085,-97.2739,civil,549,Isbell Ranch,Davilla,Texas,United States
14Y,45.8986,-94.8739,civil,914,Todd,Long Prairie,Minnesota,United States
15A,30.9132,-87.9806,civil,610,Reynolds/North Mobile Co,Creola,Alabama,United States
15AK,63.3707,-148.85,civil,639,Golden North Airfield,Cantwell,Alaska,United States
15AZ,33.7445,-114.477,civil,1219,Quail Mesa,Quartzsite,Arizona,United States
15CL,37.3427,-120.404,civil,701,Hunt Farms,Merced,California,United States
15F,33.1916,-99.7179,civil,1046,Haskell Mun,Haskell,Texas,United States
15FD,30.6585,-85.5299,civil,668,Orange Hill,Wausau,Florida,United States
15FL,30.1537,-82.6664,civil,1769,Cannon Creek Airpark,Lake City,Florida,United States
15G,41.0284,-81.7985,civil,719,Weltzien,Wadsworth,Ohio,United States
15GA,32.6802,-82.479,civil,762,Darla's,Kite,Georgia,United States
15IL,41.7973,-89.2732,civil,701,Gittleson Farms,Franklin Grove,Illinois,United States
15IS,40.2923,-88.3601,civil,805,Furtney,Fisher,Illinois,United States
15J,31.1378,-83.4531,civil,2439,Cook Co,Adel,Georgia,United States
15KS,38.4306,-96.0883,civil,701,Sickler Airstrip,Emporia,Kansas,United States
15KY,38.157,-84.3016,civil,774,Brennan Farm,Paris,Kentucky,United States
15LL,41.2375,-89.5367,civil,762,Cloverleaf Ranch,Tiskilwa,Illinois,United States
15M,34.7723,-88.1659,civil,975,Iuka,Iuka,Mississippi,United States
15MA,41.4223,-70.9095,civil,213,Canapitsit,Gosnold,Massachusetts,United States
15MN,45.2622,-94.5107,civil,762,Tyler Farms,Watkins,Minnesota,United States
15MO,40.392,-92.5655,civil,700,Applegate,Queen City,Missouri,United States
15MT,48.5,-105.901,civil,457,Saubak,Lustre,Montana,United States
15N,39.1196,-75.5838,civil,1487,Jenkins,Wyoming,Delaware,United States
15NC,36.2397,-76.9739,civil,549,Dragonfly Field,Ahoskie,North Carolina,United States
15NE,40.2911,-98.8234,civil,884,Sindt,Upland,Nebraska,United States
15PA,41.5943,-75.3555,civil,488,Cavage Personal Use,Prompton,Pennsylvania,United States
15Q,37.1911,-120.276,civil,671,Johnson Ranch,Le Grand,California,United States
15S,47.2151,-121.462,civil,122,Lester State,Lester,Washington,United States
15TA,30.2544,-99.947,civil,975,J R Ranch,Briggs,Texas,United States
15TX,32.3043,-98.3253,civil,472,Ed Shadle Private,Stephenville,Texas,United States
15VA,38.7223,-77.8997,civil,594,Fox Acres,Warrenton,Virginia,United States
15W,42.8945,-84.3903,civil,573,Dennis Farms,Laingsburg,Michigan,United States
15WA,48.2723,-122.357,civil,610,Sunset,Stanwood,Washington,United States
15WI,42.9275,-89.4182,civil,792,Peterson Field,Oregon,Wisconsin,United States
15XS,29.3327,-95.3341,civil,584,Toy Airpark,Liverpool,Texas,United States
15Z,61.4371,-142.904,civil,1067,McCarthy No 2,McCarthy,Alaska,United States
16A,60.9058,-162.439,civil,622,Nunapitchuk,Nunapitchuk,Alaska,United States
16AK,61.5992,-149.347,civil,366,Gattis Strip,Wasilla,Alaska,United States
16AR,35.3011,-92.5733,civil,610,Heifer Creek Ranch,Springfield,Arkansas,United States
16AZ,34.5089,-112.68,civil,884,Quarter Circle J Ranch,Skull Valley,Arizona,United States
16CO,40.9083,-105.084,civil,1676,Rawhide Strip,Buckeye,Colorado,United States
16D,46.6041,-95.6045,civil,1248,Perham Mun,Perham,Minnesota,United States
16FA,26.0309,-81.0387,civil,817,Little Deer,Ochopee,Florida,United States
16FD,29.405,-81.4959,civil,1036,Skinners Wholesale Nursery,Crescent City,Florida,United States
16FL,30.7252,-87.2014,civil,914,J-22 Ranch,Milton,Florida,United States
16G,41.0941,-83.2125,civil,1218,Seneca Co,Tiffin,Ohio,United States
16IA,41.8808,-94.7772,civil,732,Stangl,Coon Rapids,Iowa,United States
16II,41.1831,-86.9336,civil,792,Harrington Field,San Pierre,Indiana,United States
16IL,42.0667,-88.8334,civil,1219,Harold Bunger,Kirkland,Illinois,United States
16IS,37.5778,-89.0092,civil,671,Kellums,Goreville,Illinois,United States
16J,31.7433,-84.4193,civil,1375,Dawson Mun,Dawson,Georgia,United States
16K,55.7849,-133.594,water,3048,Port Alice,Port Alice,Alaska,United States
16KS,37.9417,-100.779,civil,1615,Seng,Garden City,Kansas,United States
16KY,38.444,-83.1227,civil,732,Praise God,Carter,Kentucky,United States
16MI,42.8875,-83.8666,civil,396,Barnstormers 5,Gaines,Michigan,United States
16MN,48.8319,-94.7044,water,999,Baudette Flying Service,Baudette,Minnesota,United States
16MO,38.4056,-91.1574,civil,579,Findley Field,Beaufort,Missouri,United States
16MT,45.4052,-109.13,civil,1006,Bangart Field,Roberts,Montana,United States
16NC,36.1961,-76.6653,civil,1257,Lee's,Edenton,North Carolina,United States
16NE,40.56,-96.4917,civil,1116,Korver,Panama,Nebraska,United States
16NJ,39.9373,-74.1357,water,999,Hummel,Island Heights,New Jersey,United States
16OI,40.1253,-84.5825,civil,792,Trump,Greenville,Ohio,United States
16OK,35.4667,-97.2003,civil,549,Lower Forty,Harrah,Oklahoma,United States
16PA,40.1806,-80.1276,civil,762,Gregg,Eighty Four,Pennsylvania,United States
16S,42.9985,-123.31,civil,792,Myrtle Creek Mun,Myrtle Creek,Oregon,United States
16SC,34.6251,-81.8984,civil,1158,Southern Aero Sports,Cross Anchor,South Carolina,United States
16TA,30.9197,-103.783,civil,1707,Seven Springs,Toyahvale,Texas,United States
16TE,32.6976,-95.2077,civil,823,Holly Lake Ranch,Hawkins,Texas,United States
16TS,32.2227,-95.318,civil,457,Pineridge,Tyler,Texas,United States
16TX,32.264,-98.1073,civil,579,Ratliff,Stephenville,Texas,United States
16U,40.058,-115.506,civil,1372,Ft Ruby Ranch,Ruby Valley,Nevada,United States
16W,46.5832,-118.001,civil,1036,Little Goose Lock & Dam,Starbuck,Washington,United States
16WA,47.8447,-117.694,civil,462,Tightcliff,Nine Mile Falls,Washington,United States
16WI,46.1216,-89.121,water,6001,Lac Vieux Desert,Phelps,Wisconsin,United States
16XS,33.0807,-97.3589,civil,914,Propwash,Justin,Texas,United States
16Z,62.958,-155.593,water,999,McGrath,McGrath,Alaska,United States
17AZ,32.7362,-111.449,civil,1219,Newman Peak Ranch,Picacho,Arizona,United States
17CL,37.088,-122.274,civil,396,Las Trancas,Davenport,California,United States
17CO,37.0881,-108.165,civil,366,Monte Madeira,Red Mesa,Colorado,United States
17FA,26.7134,-81.5353,civil,4072,Cotton Strip,La Belle,Florida,United States
17FL,29.2803,-82.1248,civil,3411,Greystone,Ocala,Florida,United States
17G,40.7816,-82.9748,civil,2080,Port Bucyrus-Crawford Co,Bucyrus,Ohio,United States
17II,41.45,-86.5103,civil,792,Dreessen Field,Walkerton,Indiana,United States
17IN,38.9784,-85.1097,civil,945,Pruss,Farmers Retreat,Indiana,United States
17J,31.0069,-84.8776,civil,3717,Donalsonville Mun,Donalsonville,Georgia,United States
17K,36.7743,-102.51,civil,1893,Boise City,Boise City,Oklahoma,United States
17KS,38.5028,-95.6772,civil,762,Tevis,Melvern,Kansas,United States
17KY,37.3939,-87.2589,civil,610,Shannon Field,Sacramento,Kentucky,United States
17L,33.5972,-116.883,civil,945,Ernst Field,Hemet,California,United States
17LL,40.1606,-88.4103,civil,610,Oink Acres,Mahomet,Illinois,United States
17LS,30.6057,-91.9918,civil,805,Yankee Field,Port Barre,Louisiana,United States
17M,31.8613,-89.8029,civil,946,Magee Mun,Magee,Mississippi,United States
17MN,46.7169,-93.2102,water,999,Kivi/Mokki,McGregor,Minnesota,United States
17MO,38.985,-91.5349,civil,914,Rgl Field,Montgomery City,Missouri,United States
17N,39.7055,-75.033,civil,1065,Cross Keys,Cross Keys,New Jersey,United States
17NC,34.4663,-78.3286,civil,640,Mitchell Field,Elizabethtown,North Carolina,United States
17OH,41.2426,-82.2702,civil,884,Kosik Private,Kipton,Ohio,United States
17OI,39.2267,-83.3177,civil,585,Haas,Bainbridge,Ohio,United States
17OK,36.525,-97.7587,civil,463,J-B Airstrip,Kremlin,Oklahoma,United States
17OR,43.2642,-123.11,civil,701,Glide Aero,Glide,Oregon,United States
17S,45.3237,-123.054,civil,696,Chehalem,Newberg,Oregon,United States
17SC,34.5326,-81.8862,civil,732,Carolina Cow Country,Clinton,South Carolina,United States
17TE,29.9291,-98.9403,civil,594,Comfort Airpark,Comfort,Texas,United States
